Seizure file	Match ID
KEN, 08-10, 1.5t	AVO039-AVO068
KEN, 08-10, 1.5t	AVO040
KEN, 08-10, 1.5t	AVO048-AVO094
KEN, 08-10, 1.5t	AVO050
KEN, 08-10, 1.5t	AVO053
KEN, 08-10, 1.5t	AVO054
KEN, 08-10, 1.5t	AVO055
KEN, 08-10, 1.5t	AVO059
KEN, 08-10, 1.5t	AVO060
KEN, 08-10, 1.5t	AVO061
KEN, 08-10, 1.5t	AVO062
KEN, 08-10, 1.5t	AVO063
KEN, 08-10, 1.5t	AVO065
KEN, 08-10, 1.5t	AVO066
KEN, 08-10, 1.5t	AVO067
KEN, 08-10, 1.5t	AVO072
KEN, 08-10, 1.5t	AVO074
KEN, 08-10, 1.5t	AVO076
KEN, 08-10, 1.5t	AVO077
KEN, 08-10, 1.5t	AVO078
KEN, 08-10, 1.5t	AVO089
KEN, 08-10, 1.5t	AVO090-AVO216
KEN, 08-10, 1.5t	AVO093
KEN, 08-10, 1.5t	AVO095
KEN, 08-10, 1.5t	AVO099
KEN, 08-10, 1.5t	AVO100
KEN, 08-10, 1.5t	AVO101
KEN, 08-10, 1.5t	AVO102
KEN, 08-10, 1.5t	AVO103
KEN, 08-10, 1.5t	AVO104
KEN, 08-10, 1.5t	AVO108
KEN, 08-10, 1.5t	AVO110
KEN, 08-10, 1.5t	AVO111
KEN, 08-10, 1.5t	AVO112
KEN, 08-10, 1.5t	AVO113
KEN, 08-10, 1.5t	AVO115
KEN, 08-10, 1.5t	AVO118
KEN, 08-10, 1.5t	AVO120
KEN, 08-10, 1.5t	AVO122
KEN, 08-10, 1.5t	AVO123-AVO179
KEN, 08-10, 1.5t	AVO124-AVO169-AVO170
KEN, 08-10, 1.5t	AVO128
KEN, 08-10, 1.5t	AVO129
KEN, 08-10, 1.5t	AVO130
KEN, 08-10, 1.5t	AVO131
KEN, 08-10, 1.5t	AVO133
KEN, 08-10, 1.5t	AVO134
KEN, 08-10, 1.5t	AVO135
KEN, 08-10, 1.5t	AVO136
KEN, 08-10, 1.5t	AVO139
KEN, 08-10, 1.5t	AVO140
KEN, 08-10, 1.5t	AVO142
KEN, 08-10, 1.5t	AVO145
KEN, 08-10, 1.5t	AVO149
KEN, 08-10, 1.5t	AVO150
KEN, 08-10, 1.5t	AVO151
KEN, 08-10, 1.5t	AVO155
KEN, 08-10, 1.5t	AVO157
KEN, 08-10, 1.5t	AVO159
KEN, 08-10, 1.5t	AVO160
KEN, 08-10, 1.5t	AVO161
KEN, 08-10, 1.5t	AVO162
KEN, 08-10, 1.5t	AVO164
KEN, 08-10, 1.5t	AVO167
KEN, 08-10, 1.5t	AVO168
KEN, 08-10, 1.5t	AVO171
KEN, 08-10, 1.5t	AVO175
KEN, 08-10, 1.5t	AVO176
KEN, 08-10, 1.5t	AVO177
KEN, 08-10, 1.5t	AVO180
KEN, 08-10, 1.5t	AVO181
KEN, 08-10, 1.5t	AVO182
